id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
TEMPURA-FRIED FRUIT AND BRIE,0.0934656,0.09283913,0.09369345,0.09338403,0.09060268,0.08840504,0.095859356,0.08772923,0.09206049,0.09411971,0.093878284,0.092858315,0.094674714,0.09342145,0.09384476,0.09491506
EDIBLE APPLE-FLAVORED BALLOON,0.06733793,0.06677319,0.06606227,0.06787546,0.06464089,0.06524308,0.068892896,0.06442815,0.06564243,0.066252306,0.0677169,0.06662244,0.06718828,0.06806625,0.0697539,0.06750396
FRESH TURF CARPETING,0.10800941,0.10858614,0.108310744,0.110904634,0.10476585,0.10504475,0.11199927,0.10323467,0.10485703,0.10923633,0.10948181,0.10996352,0.11106435,0.11024693,0.109652445,0.108567476
FRIDAY NIGHT,0.09006341,0.092261255,0.09359984,0.094633296,0.09000613,0.089369595,0.09583241,0.087042995,0.09135478,0.09166014,0.09355597,0.092671275,0.09347041,0.09476346,0.093719035,0.09360449
BIRTHDAY,0.018634293,0.0186522,0.018721722,0.018568927,0.01849372,0.017922439,0.018581115,0.018140081,0.018929012,0.018152814,0.018673504,0.018194724,0.018072307,0.019013334,0.018729616,0.018283155
SON,0.05752506,0.05866135,0.05850771,0.058701746,0.057858154,0.05708788,0.059636384,0.056592092,0.056274496,0.05883447,0.05795484,0.057669804,0.058223695,0.05839233,0.059261493,0.057163063
TICKETING SYSTEM,0.07428979,0.07515018,0.07510692,0.076857395,0.07351082,0.07426033,0.07736793,0.074091434,0.074868724,0.0755276,0.07606669,0.07606882,0.07647164,0.0756153,0.07708008,0.07441771
LEMONADE,0.080598176,0.082542196,0.08360161,0.08388583,0.08063614,0.079921834,0.083759956,0.080097996,0.081480846,0.084441036,0.0838625,0.08354856,0.08383563,0.083989955,0.08410062,0.08152221
MUSHROOM DISH,0.073399946,0.07291673,0.074567534,0.07467614,0.071767576,0.07318134,0.076153755,0.07057807,0.07361396,0.07279879,0.07524394,0.07505983,0.075687245,0.0740466,0.07613138,0.07345443
SEAFOOD COURSE,0.077288255,0.078440756,0.0774849,0.07861473,0.075683355,0.074191324,0.078463316,0.07429767,0.07709673,0.078423984,0.07843314,0.07934548,0.07968491,0.078594856,0.08014253,0.078059256
SUMMER SALAD,0.087329,0.088105515,0.08998615,0.090007015,0.08679792,0.08534473,0.09239778,0.08550754,0.087730296,0.088034965,0.09085584,0.09189516,0.08796436,0.0917448,0.09018427,0.09028898
HOT POTATO/COLD POTATO,0.048253294,0.04764934,0.047642834,0.047635477,0.046802394,0.047239393,0.04837506,0.047401004,0.04795025,0.04904048,0.048154272,0.047955193,0.04845639,0.049526863,0.049028583,0.048091546
TRUFFLE EXPLOSION,0.055966876,0.05714842,0.056143176,0.056087203,0.05587843,0.05511213,0.057817057,0.05512493,0.05512408,0.055246588,0.05557494,0.05675409,0.05629561,0.05613263,0.056484357,0.05664477
GRASS,0.09354658,0.094016016,0.09444381,0.09612492,0.09235291,0.091825336,0.09621575,0.09031142,0.09392002,0.09368894,0.09459744,0.09603168,0.09429489,0.095251165,0.09388501,0.093474604
NICK ACHATZ,0.016683232,0.016221028,0.016826302,0.016724357,0.01577655,0.016468368,0.016363844,0.016310368,0.016264483,0.01683243,0.016137857,0.017025419,0.017313791,0.016625598,0.016846016,0.016570484
LEFT HANDED,0.083163105,0.08325699,0.0851706,0.08533212,0.08377427,0.08383226,0.08776336,0.079312764,0.083296195,0.08545035,0.085532516,0.08541759,0.08509648,0.085831486,0.08692844,0.08418873
